,y_pred
2024-01-01,2963007.57
2024-04-01,2973635.14
2024-07-01,2984262.7101
2024-10-01,2994890.2801
2025-01-01,3005517.8501
2025-04-01,3016145.4201
2025-07-01,3026772.9902
2025-10-01,3037400.5602
2026-01-01,3048028.1302
2026-04-01,3058655.7002
2026-07-01,3069283.2702
2026-10-01,3079910.8403
2027-01-01,3090538.4103
2027-04-01,3101165.9803
2027-07-01,3111793.5503
2027-10-01,3122421.1204
2028-01-01,3133048.6904
2028-04-01,3143676.2604
2028-07-01,3154303.8304
2028-10-01,3164931.4005
2029-01-01,3175558.9705
2029-04-01,3186186.5405
2029-07-01,3196814.1105
2029-10-01,3207441.6805
2030-01-01,3218069.2506
2030-04-01,3228696.8206
2030-07-01,3239324.3906
2030-10-01,3249951.9606
2031-01-01,3260579.5307
2031-04-01,3271207.1007
2031-07-01,3281834.6707
2031-10-01,3292462.2407
2032-01-01,3303089.8107
2032-04-01,3313717.3808
2032-07-01,3324344.9508
2032-10-01,3334972.5208
2033-01-01,3345600.0908
2033-04-01,3356227.6609
2033-07-01,3366855.2309
2033-10-01,3377482.8009
2034-01-01,3388110.3709
2034-04-01,3398737.9409
2034-07-01,3409365.511
2034-10-01,3419993.081
2035-01-01,3430620.651
2035-04-01,3441248.221
2035-07-01,3451875.7911
2035-10-01,3462503.3611
2036-01-01,3473130.9311
2036-04-01,3483758.5011
2036-07-01,3494386.0712
2036-10-01,3505013.6412
2037-01-01,3515641.2112
2037-04-01,3526268.7812
2037-07-01,3536896.3512
2037-10-01,3547523.9213
2038-01-01,3558151.4913
2038-04-01,3568779.0613
2038-07-01,3579406.6313
2038-10-01,3590034.2014
2039-01-01,3600661.7714
2039-04-01,3611289.3414
2039-07-01,3621916.9114
2039-10-01,3632544.4814
2040-01-01,3643172.0515
2040-04-01,3653799.6215
2040-07-01,3664427.1915
2040-10-01,3675054.7615
2041-01-01,3685682.3316
2041-04-01,3696309.9016
2041-07-01,3706937.4716
2041-10-01,3717565.0416
2042-01-01,3728192.6116
2042-04-01,3738820.1817
2042-07-01,3749447.7517
2042-10-01,3760075.3217
2043-01-01,3770702.8917
2043-04-01,3781330.4618
2043-07-01,3791958.0318
2043-10-01,3802585.6018
2044-01-01,3813213.1718
2044-04-01,3823840.7419
2044-07-01,3834468.3119
2044-10-01,3845095.8819
2045-01-01,3855723.4519
2045-04-01,3866351.0219
2045-07-01,3876978.592
2045-10-01,3887606.162
2046-01-01,3898233.732
2046-04-01,3908861.302
2046-07-01,3919488.8721
2046-10-01,3930116.4421
2047-01-01,3940744.0121
2047-04-01,3951371.5821
2047-07-01,3961999.1521
2047-10-01,3972626.7222
2048-01-01,3983254.2922
2048-04-01,3993881.8622
2048-07-01,4004509.4322
2048-10-01,4015137.0023
2049-01-01,4025764.5723
2049-04-01,4036392.1423
2049-07-01,4047019.7123
2049-10-01,4057647.2823
